code,name,theme1,theme2,theme3,theme4,theme5,theme6,theme7,theme8,theme9,theme10,theme11,theme12,theme13,theme14,theme15,theme16,theme17,theme18,theme19,theme20,theme21,theme22,theme23,theme24
282880,코윈테크,2차전지,2차전지(장비),스마트팩토리(스마트공장),,,,,,,,,,,,,,,,,,,,,
336370,솔루스첨단소재,2차전지,2차전지(소재/부품),K-뉴딜지수(2차전지),전기차,K-뉴딜지수,OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,,
084850,아이티엠반도체,2차전지,2차전지(소재/부품),아이폰,,,,,,,,,,,,,,,,,,,,,
254120,자비스,2차전지,PCB(FPCB 등),2차전지(장비),반도체 장비,,,,,,,,,,,,,,,,,,,,
121600,나노신소재,2차전지,2차전지(소재/부품),태양광에너지,LED,OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,,,
178920,PI첨단소재,2차전지,2차전지(소재/부품),5G(5세대 이동통신),갤럭시 부품주,日 수출 규제(국산화 등),폴더블폰,플렉서블 디스플레이,PCB(FPCB 등),OLED(유기 발광 다이오드),,,,,,,,,,,,,,,
025900,동화기업,2차전지,2차전지(소재/부품),리모델링/인테리어,,,,,,,,,,,,,,,,,,,,,
065130,탑엔지니어링,2차전지,LCD장비,LED장비,2차전지(장비),반도체 장비,카메라모듈/부품,OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,
267320,나인테크,2차전지,2차전지(장비),OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,,,,,
051490,나라엠앤디,2차전지,2차전지(소재/부품),자동차부품,전기차,,,,,,,,,,,,,,,,,,,,
093230,이아이디,2차전지,2차전지(소재/부품),사물인터넷,코로나19(스푸트니크V),화장품,2차전지(장비),,,,,,,,,,,,,,,,,,
320000,윈텍,2차전지,LCD장비,2차전지(장비),MLCC(적층세라믹콘덴서),OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,,,
357780,솔브레인,2차전지,2차전지(소재/부품),반도체 재료/부품,日 수출 규제(국산화 등),LCD 부품/소재,,,,,,,,,,,,,,,,,,,
079810,디이엔티,2차전지,日 수출 규제(국산화 등),플렉서블 디스플레이,LCD장비,2차전지(장비),,,,,,,,,,,,,,,,,,,
001780,알루코,2차전지,2차전지(소재/부품),비철금속,정치/인맥(정세균),정치/인맥(문재인),철도,,,,,,,,,,,,,,,,,,
002710,TCC스틸,2차전지,2차전지(소재/부품),철강 중소형,,,,,,,,,,,,,,,,,,,,,
006110,삼아알미늄,2차전지,2차전지(소재/부품),비철금속,,,,,,,,,,,,,,,,,,,,,
065350,신성델타테크,2차전지,2차전지(소재/부품),,,,,,,,,,,,,,,,,,,,,,
011500,한농화성,2차전지,2차전지(소재/부품),,,,,,,,,,,,,,,,,,,,,,
006650,대한유화,2차전지,2차전지(소재/부품),석유화학,,,,,,,,,,,,,,,,,,,,,
226440,한송네오텍,2차전지,2차전지(소재/부품),마스크,OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,,,,
075970,동국알앤에스,2차전지,2차전지(소재/부품),희귀금속(희토류 등),북한 광물자원개발,스마트팩토리(스마트공장),,,,,,,,,,,,,,,,,,,
014820,동원시스템즈,2차전지,2차전지(소재/부품),,,,,,,,,,,,,,,,,,,,,,
001570,금양,2차전지,2차전지(소재/부품),정치/인맥(오세훈),,,,,,,,,,,,,,,,,,,,,
340930,유일에너테크,2차전지,수소차(연료전지/부품/충전소 등),2021 상반기 신규상장,2차전지(장비),전기차,전력저장장치(ESS),,,,,,,,,,,,,,,,,,
333620,엔시스,2차전지,2021 상반기 신규상장,2차전지(장비),,,,,,,,,,,,,,,,,,,,,
096630,에스코넥,2차전지,2차전지(소재/부품),메타버스(Metaverse),폴더블폰,가상현실(VR),휴대폰부품,,,,,,,,,,,,,,,,,,
005930,삼성전자,3D 낸드(NAND),5G(5세대 이동통신),갤럭시 부품주,공기청정기,무선충전기술,반도체 대표주(생산),스마트폰,시스템반도체,아이폰,자율주행차,폴더블폰,플렉서블 디스플레이,IT 대표주,4차산업 수혜주,가상현실(VR),고령화 사회(노인복지),마이크로 LED,삼성페이,스마트홈(홈네트워크),의료기기,제습기,LED,OLED(유기 발광 다이오드),RFID(NFC 등)
000660,SK하이닉스,3D 낸드(NAND),반도체 대표주(생산),시스템반도체,아이폰,자율주행차,IT 대표주,,,,,,,,,,,,,,,,,,
240810,원익IPS,3D 낸드(NAND),LCD장비,반도체 장비,태양광에너지,OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,,,
031980,피에스케이홀딩스,3D 낸드(NAND),반도체 장비,,,,,,,,,,,,,,,,,,,,,,
084370,유진테크,3D 낸드(NAND),반도체 장비,,,,,,,,,,,,,,,,,,,,,,
089030,테크윙,3D 낸드(NAND),반도체 재료/부품,시스템반도체,LCD장비,반도체 장비,,,,,,,,,,,,,,,,,,,
095610,테스,3D 낸드(NAND),반도체 장비,,,,,,,,,,,,,,,,,,,,,,
036490,SK머티리얼즈,3D 낸드(NAND),반도체 재료/부품,日 수출 규제(국산화 등),플렉서블 디스플레이,태양광에너지,,,,,,,,,,,,,,,,,,,
104830,원익머트리얼즈,3D 낸드(NAND),반도체 재료/부품,수소차(연료전지/부품/충전소 등),LCD 부품/소재,OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,,,
074600,원익QnC,3D 낸드(NAND),반도체 재료/부품,,,,,,,,,,,,,,,,,,,,,,
045100,한양이엔지,3D 낸드(NAND),원자력발전,LCD장비,반도체 장비,우주항공산업,,,,,,,,,,,,,,,,,,,
079370,제우스,3D 낸드(NAND),LCD장비,태양광에너지,,,,,,,,,,,,,,,,,,,,,
092070,디엔에프,3D 낸드(NAND),반도체 재료/부품,,,,,,,,,,,,,,,,,,,,,,
014680,한솔케미칼,3D 낸드(NAND),OLED(유기 발광 다이오드),,,,,,,,,,,,,,,,,,,,,,
222800,심텍,3D 낸드(NAND),PCB(FPCB 등),,,,,,,,,,,,,,,,,,,,,,
086390,유니테스트,3D 낸드(NAND),반도체 장비,태양광에너지,,,,,,,,,,,,,,,,,,,,,
